filename;year;kursus_id;file_id;tilm_type;Event;Location;Campus;Seats;gruppe;online;from;To;dato
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024;4202463;20240826101044;tilmeldt;R for absolutte nybegyndere;Lighthouse, Zone 1;KUB Nord - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N;30;r;FALSE;10:00;12:00;2024-08-20
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202465_20240909083851.csv;2024;4202465;20240909083851;tilmeldt;R for Absolute Beginners;Lighthouse, Zone 1;KUB Nord - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N;30;r;FALSE;13:00;15:00;2024-09-09
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202466_20241021122056.csv;2024;4202466;20241021122056;tilmeldt;R for absolutte nybegyndere;Lighthouse, Zone 1;KUB Nørre Campus - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N;30;r;FALSE;10:00;12:00;2024-10-08
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202468_20241105083424.csv;2024;4202468;20241105083424;tilmeldt;R for Absolute Beginners - ONLINE;Online course;NA;40;r;TRUE;9:00;11:00;2024-10-29
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202469_20241118020831.csv;2024;4202469;20241118020831;tilmeldt;R for Absolute Beginners;Lighthouse, Zone 1;KUB Nørre Campus - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N;25;r;FALSE;13:00;15:00;2024-11-05
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202470_20241202012711.csv;2024;4202470;20241202012711;tilmeldt;R for Absolute Beginners - ONLINE;Online course;KUB Nørre Campus - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N;40;r;TRUE;9:00;11:00;2024-11-19
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4216238_20240923090411.csv;2024;4216238;20240923090411;tilmeldt;Python for Absolute Beginners pt. 1;KUB Datalab - Samf;SAMF: Det Samfundsvidenskabelige Fakultetsbibliotek, Gothersgade 140, 1123 København K;25;python;FALSE;9:00;12:00;2024-09-11
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4216239_20241007125234.csv;2024;4216239;20241007125234;tilmeldt;Python for Absolute Beginners pt. 1;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;25;python;FALSE;9:00;12:00;2024-09-24
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4216240_20241105083637.csv;2024;4216240;20241105083637;tilmeldt;Python for Absolute Beginners pt. 1;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;25;python;FALSE;12:00;15:00;2024-10-30
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4216241_20240923090527.csv;2024;4216241;20240923090527;tilmeldt;Python for Absolute Beginners pt. 2;KUB Datalab - Samf;SAMF: Det Samfundsvidenskabelige Fakultetsbibliotek, Gothersgade 140, 1123 København K;25;python;FALSE;9:00;12:30;2024-09-18
