year;filename;booking_made;registration_type;attendance;faculty;udd;niveau;erfaring;os;kilde;kontakt_tilladelse;gdpr;pid;sex
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-07-04T14:40:00Z;In-Person;-;Faculty of Social Sciences (UCPH);Psychology;Master;Novice;macOS;KUnet;No;I accept.;0866931c4301d0e29913e4b1dc469130;4,88400488400488e-05
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-07-07T14:04:00Z;In-Person;-;Faculty of Social Sciences (UCPH);Psychology;Master;Novice;macOS;KUnet;No;I accept.;eb4d74672f2187cffa34769fa3cd197f;4,88400488400488e-05
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-07-12T17:21:00Z;In-Person;-;Faculty of Health and Medical Sciences (UCPH);Medicine;Master;Novice;Windows;KUnet;Yes;I accept.;69daa826a533b040226d3f9892526e3a;6,56167979002625e-04
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-07-16T14:31:00Z;In-Person;-;Faculty of Social Sciences (UCPH);Sociologi;Master;Intermediate;macOS;KUnet;No;I accept.;480cba9f82d52d6cd670244fa702053c;0,00000000000000e+00
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-07-16T14:39:00Z;In-Person;-;Faculty of Social Sciences (UCPH);Sociologi;Master;Novice;macOS;Other;Yes;I accept.;978b1b63c9f5035e142ffe7bc12aa533;NA
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-07-20T20:47:00Z;In-Person;-;Faculty of Health and Medical Sciences (UCPH);css;Bachelor;Novice;Windows;KUnet;Yes;I accept.;1eb577b94804fcb96b72dc0e71c5e7ce;0,00000000000000e+00
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-07-21T13:40:00Z;In-Person;-;Faculty of Health and Medical Sciences (UCPH);Cand. Scient .San;Master;Novice;Windows;The library's web page;Yes;I accept.;9c90a0b12618eb0644ef5bb846387715;NA
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-07-21T13:44:00Z;In-Person;-;Faculty of Health and Medical Sciences (UCPH);Cand.Scient.San;Master;Novice;Windows;KUnet;No;I accept.;8b8de2bc0e18ef2f9a7b2f629a25eaab;0,00000000000000e+00
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-07-22T15:08:00Z;In-Person;-;Faculty of Social Sciences (UCPH);Sociologi;Master;Novice;macOS;Word of mouth;No;I accept.;bb74e38963c58de6921f571908f2eecc;1,04761405898067e-04
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-07-23T18:13:00Z;In-Person;-;Faculty of Health and Medical Sciences (UCPH);Public Health;Bachelor;Novice;Windows;KUnet;No;I accept.;4770d42ba46a3460ad319314c23ab5b1;5,38243626062323e-02
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-07-24T14:58:00Z;In-Person;-;Faculty of Social Sciences (UCPH);Statskundskab;Master;Novice;macOS;KUnet;No;I accept.;12cba786b9ef54c97920e88e48b6c5bd;NA
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-07-25T11:47:00Z;In-Person;-;Faculty of Science (UCPH);Animal science;Bachelor;Novice;Windows;KUnet;No;I accept.;b478fdb528bbfceeb3401bc759fd58d1;0,00000000000000e+00
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-07-28T23:22:00Z;In-Person;-;Faculty of Social Sciences (UCPH);Kognitions- og datavidenskab;Bachelor;Novice;Windows;KUnet;Yes;I accept.;0d37ee5de152386edc4cac16733b0af7;1,00000000000000e+00
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-07-29T12:03:00Z;In-Person;-;Faculty of Social Sciences (UCPH);Sociology;Master;Novice;macOS;Word of mouth;No;I accept.;c5e36140bdda3a60aafa4a1a679d8970;NA
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-07-30T10:57:00Z;In-Person;-;Faculty of Science (UCPH);Datalogi;Bachelor;Novice;macOS;KUnet;Yes;I accept.;291b4fab92bddda5e9d2e15d04e831db;NA
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-07-30T13:58:00Z;In-Person;-;Faculty of Social Sciences (UCPH);Statskundskab;Master;Novice;macOS;The library's web page;Yes;I accept.;c4d3b942d0d1b98e085f483e3c6aa5cc;NA
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-07-31T01:59:00Z;In-Person;-;Faculty of Science (UCPH);Food Innovation and Health;Master;Intermediate;Windows;KUnet;Yes;I accept.;346b6ba7a2059b3229ba69eb44667559;NA
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-08-03T11:07:00Z;In-Person;-;Faculty of Health and Medical Sciences (UCPH);Medicin;Master;Novice;macOS;The library's web page;Yes;I accept.;477357c3c29b254366142ea6f2a7140b;0,00000000000000e+00
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-08-05T11:12:00Z;In-Person;-;Faculty of Health and Medical Sciences (UCPH);cand. scient. san.;Master;Novice;Windows;The library's web page;No;I accept.;0741203428aa87ef3bbf4acbc1293152;0,00000000000000e+00
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-08-05T14:03:00Z;In-Person;-;Faculty of Social Sciences (UCPH);Statskundskab;Master;Novice;Windows;Word of mouth;Yes;I accept.;49f382383449e3dee8b0a178c63b4a1d;1,00000000000000e+00
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-08-06T15:45:00Z;In-Person;-;Faculty of Social Sciences (UCPH);Sociology;Master;Novice;macOS;KUnet;Yes;I accept.;5a9c6f2f8ccff70ff7d457c38eb17a89;1,54607297464440e-02
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-08-06T15:50:00Z;In-Person;-;Faculty of Social Sciences (UCPH);Sociology;Master;Novice;macOS;Word of mouth;Yes;I accept.;bf23ca396d86203fa0d159df2791a1bb;2,11148648648649e-04
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-08-06T20:48:00Z;In-Person;-;Faculty of Science (UCPH);none;Bachelor;Novice;macOS;KUnet;Yes;I accept.;10701cef67d2a009bbb7001688dc330b;NA
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-08-07T12:09:00Z;In-Person;-;Faculty of Science (UCPH);Mathematics with a minor in sports science;Master;Novice;Windows;KUnet;Yes;I accept.;513eefd60d6825d5e275b2fb3eed3241;NA
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-08-10T12:08:00Z;In-Person;-;Faculty of Health and Medical Sciences (UCPH);sundhedsfagligkandidat;Master;Novice;Windows;Other;No;I accept.;e6bad70acb5f6ad500aae5ac2b977c72;1,00000000000000e+00
2024;data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4202463_20240826101044.csv;2024-08-11T23:59:00Z;In-Person;-;Faculty of Science (UCPH);Biology;Bachelor;Novice;macOS;KUnet;Yes;I accept.;104cc871fa07701fd00a0406928bf2e1;2,94031167303734e-04
